sounds.png, 1, 1, 322, 48, 3, 7, 4, 8
gameName.png, 1, 51, 435, 200, 6, 11, 7, 13
youWin.png, 325, 1, 373, 48, 4, 6, 3, 8
yes.png, 1, 253, 66, 48, 4, 6, 3, 8
language.png, 700, 1, 263, 48, 4, 6, 4, 8
music.png, 1, 303, 292, 48, 3, 7, 4, 8
youLose.png, 69, 253, 385, 48, 3, 6, 3, 8
exit.png, 1, 353, 216, 48, 4, 7, 4, 8
continue.png, 1, 403, 421, 48, 4, 6, 5, 8
play.png, 295, 303, 376, 72, 6, 9, 6, 12
no.png, 1, 453, 96, 48, 4, 7, 5, 8
player.png, 99, 453, 234, 32, 3, 5, 3, 5
levelSelect.png, 335, 453, 317, 48, 4, 7, 4, 8
stageSelect.png, 424, 377, 323, 48, 3, 6, 4, 8
credits.png, 654, 427, 363, 48, 4, 6, 4, 8
paused.png, 438, 51, 352, 48, 4, 7, 4, 8
options.png, 438, 101, 372, 48, 4, 7, 4, 8
restart.png, 438, 151, 361, 48, 3, 6, 4, 8
scores.png, 438, 201, 573, 48, 4, 6, 5, 8
points.png, 654, 477, 201, 32, 2, 4, 2, 6
back.png, 456, 251, 291, 48, 3, 6, 4, 8
pauseDraw.png, 673, 301, 73, 55, 0, 0, 0, 0
